Data file,Synchronization Score (SS)
data_FT_EEG_sw1_s02_Wave4_0001.mat,
data_FT_EEG_sw1_s02_Wave10_0001.mat,-66051.49
data_FT_EEG_sw1_s02_Wave36_0001.mat,383.98
data_FT_EEG_sw1_s02_Wave43_0001.mat,128.16
data_FT_EEG_sw1_s02_Wave72_0001.mat,-136.82
data_FT_EEG_sw1_s02_Wave73_0001.mat,
,
data_FT_EEG_sw2_s02_Wave5_0001.mat,-88.22
data_FT_EEG_sw2_s02_Wave7_0001.mat,
data_FT_EEG_sw2_s02_Wave8_0001.mat,
data_FT_EEG_sw2_s02_Wave16_0001.mat,46.93
data_FT_EEG_sw2_s02_Wave36_0001.mat,-12.32
